name,link,Default Branch,SHA,Stargazers Count,Forks Count,Maven,Gradle,Travis CI,Github Actions,Maven Jacoco, Maven Cobertura,Maven Javadoc,Gradle Jacoco,Gradle Cobertura,Gradle Javadoc,Travis Codecov,Travis Coveralls,Travis Codacy,Travis Jacoco, Travis Cobertura,Travis Javadoc,GA Codecov,GA Coveralls,GA Codacy,GA Jacoco, GA Cobertura,GA Javadoc
apache/shiro,https://github.com/apache/shiro,main,4ce0399244fd8363fb28e73032d28d57c60ef44e,3863,2216,21/07/2022 16:35:41,cache/pom.xml;config/core/pom.xml;config/ogdl/pom.xml;config/pom.xml;core/pom.xml;crypto/cipher/pom.xml;crypto/core/pom.xml;crypto/hash/pom.xml;crypto/pom.xml;crypto/support/hashes/argon2/pom.xml;crypto/support/hashes/bcrypt/pom.xml;crypto/support/pom.xml;event/pom.xml;integration-tests/guice3/pom.xml;integration-tests/guice4/pom.xml;integration-tests/jaxrs/app/pom.xml;integration-tests/jaxrs/meecrowave/pom.xml;integration-tests/jaxrs/openliberty/pom.xml;integration-tests/jaxrs/pom.xml;integration-tests/jaxrs/tests/pom.xml;integration-tests/meecrowave-support/pom.xml;integration-tests/pom.xml;integration-tests/support/pom.xml;lang/pom.xml;pom.xml;samples/aspectj/pom.xml;samples/guice/pom.xml;samples/pom.xml;samples/quickstart-guice/pom.xml;samples/quickstart/pom.xml;samples/servlet-plugin/pom.xml;samples/spring-boot-web/pom.xml;samples/spring-boot/pom.xml;samples/spring-hibernate/pom.xml;samples/spring-mvc/pom.xml;samples/spring/pom.xml;samples/web/pom.xml;support/aspectj/pom.xml;support/ehcache/pom.xml;support/features/pom.xml;support/guice/pom.xml;support/hazelcast/pom.xml;support/jaxrs/pom.xml;support/pom.xml;support/quartz/pom.xml;support/servlet-plugin/pom.xml;support/spring-boot/pom.xml;support/spring-boot/spring-boot-starter/pom.xml;support/spring-boot/spring-boot-web-starter/pom.xml;support/spring/pom.xml;test-coverage/pom.xml;tools/hasher/pom.xml;tools/pom.xml;web/pom.xml;,,,.github/workflows/maven.yml;
bsknblc/GradleTestCI,https://github.com/bsknblc/GradleTestCI,main,9168e26b46488bd998bcbd468eade6fc512e30c8,0,0,,app/build.gradle;,,.github/workflows/ci.yml;,,,,,,,,,,,,,,,,,,
bsknblc/MavenTestCI,https://github.com/bsknblc/MavenTestCI,main,5bf035994206cab826e82ba4550cd5b5571cba2a,0,0,pom.xml;,,,.github/workflows/ci.yml;,pom.xml;,,,,,,,,,,,,.github/workflows/ci.yml;,,,.github/workflows/ci.yml;,,
googlemaps/android-maps-utils,https://github.com/googlemaps/android-maps-utils,main,f0634a69d2af575c78bc1a637c95697641d90bdd,3374,1528,,build.gradle;demo/build.gradle;library-v3/build.gradle;library/build.gradle;lint-checks/build.gradle;settings.gradle;,,.github/workflows/dependabot.yml;.github/workflows/release.yml;.github/workflows/test.yml;,,,,build.gradle;,,build.gradle;,,,,,,,,,,.github/workflows/test.yml;,,
