name,link,Default Branch,SHA,Stargazers Count,Forks Count,Maven,Gradle,Travis CI,Github Actions,Maven Jacoco, Maven Cobertura,Maven Javadoc,Gradle Jacoco,Gradle Cobertura,Gradle Javadoc,Travis Codecov,Travis Coveralls,Travis Codacy,Travis Jacoco, Travis Cobertura,Travis Javadoc,GA Codecov,GA Coveralls,GA Codacy,GA Jacoco, GA Cobertura,GA Javadoc
wuerlika/JDBC_Project_B18,https://github.com/wuerlika/JDBC_Project_B18,master,b51444d62cfc63652971a930c7e90b2557e17f0c,0,288,pom.xml;,,,,,,,,,,,,,,,,,,,,,
internship-experience-uk/google-code-sample,https://github.com/internship-experience-uk/google-code-sample,main,500947e115b283a78c6b732b2ae1c32f9ee63ff0,59,290,java/pom.xml;solutions/java/solution1/pom.xml;solutions/java/solution2/pom.xml;solutions/java/solution3/pom.xml;solutions/java/solution4/pom.xml;,,,,,,,,,,,,,,,,,,,,,
kaustubhgupta/Hacktoberfest,https://github.com/kaustubhgupta/Hacktoberfest,master,27512ab9431a4397b55049ea829fdd800b74d5ab,59,290,,,,.github/workflows/greetings.yml;.github/workflows/issues_label.yml;.github/workflows/stale_PR.yml;,,,,,,,,,,,,,,,,,,
ResurrectionRemix/android_frameworks_base,https://github.com/ResurrectionRemix/android_frameworks_base,Q,5e1db0334755ba47245d69857a17f84503f7ce6f,112,291,,tests/HierarchyViewerTest/build.gradle;tests/TouchLatency/app/build.gradle;tests/TouchLatency/build.gradle;tests/TouchLatency/settings.gradle;tests/UiBench/build.gradle;,,,,,,,,,,,,,,,,,,,,
tonikami/NEWLoginRegister,https://github.com/tonikami/NEWLoginRegister,master,9a56eb4e4653f610a149824842eca3c705bd1cb0,74,294,,app/build.gradle;build.gradle;settings.gradle;,,,,,,,,,,,,,,,,,,,,
uber-archive/AthenaX,https://github.com/uber-archive/AthenaX,master,fcafb92d41a6808696abaecad376af6504f45791,1215,294,athenax-backend/pom.xml;athenax-tests/pom.xml;athenax-vm-api/pom.xml;athenax-vm-compiler/pom.xml;athenax-vm-connectors/athenax-vm-connector-common/pom.xml;athenax-vm-connectors/athenax-vm-connector-kafka/pom.xml;pom.xml;,,.travis.yml;,,,,,,,,,,,,,,,,,,,
cs125-illinois/Fall-2017-Lab11,https://github.com/cs125-illinois/Fall-2017-Lab11,master,bf9a58de61bc1b2fe06e7ea606417141aad744e1,1,295,,build.gradle;,,,,,,,,build.gradle;,,,,,,,,,,,,
apache/inlong,https://github.com/apache/inlong,master,4c519860e69803bcbd526cd7073fbd8c87e07f4d,882,296,inlong-agent/agent-common/pom.xml;inlong-agent/agent-core/pom.xml;inlong-agent/agent-docker/pom.xml;inlong-agent/agent-plugins/pom.xml;inlong-agent/agent-release/pom.xml;inlong-agent/pom.xml;inlong-audit/audit-common/pom.xml;inlong-audit/audit-docker/pom.xml;inlong-audit/audit-proxy/pom.xml;inlong-audit/audit-release/pom.xml;inlong-audit/audit-sdk/pom.xml;inlong-audit/audit-store/pom.xml;inlong-audit/pom.xml;inlong-common/pom.xml;inlong-dashboard/pom.xml;inlong-dataproxy/dataproxy-dist/pom.xml;inlong-dataproxy/dataproxy-docker/pom.xml;inlong-dataproxy/dataproxy-source/pom.xml;inlong-dataproxy/pom.xml;inlong-distribution/pom.xml;inlong-manager/manager-client-examples/pom.xml;inlong-manager/manager-client-tools/pom.xml;inlong-manager/manager-client/pom.xml;inlong-manager/manager-common/pom.xml;inlong-manager/manager-dao/pom.xml;inlong-manager/manager-docker/pom.xml;inlong-manager/manager-plugins/pom.xml;inlong-manager/manager-service/pom.xml;inlong-manager/manager-test/pom.xml;inlong-manager/manager-web/pom.xml;inlong-manager/manager-workflow/pom.xml;inlong-manager/pom.xml;inlong-sdk/dataproxy-sdk/pom.xml;inlong-sdk/pom.xml;inlong-sdk/sdk-common/pom.xml;inlong-sdk/sort-sdk/pom.xml;inlong-sort-standalone/pom.xml;inlong-sort-standalone/sort-standalone-common/pom.xml;inlong-sort-standalone/sort-standalone-dist/pom.xml;inlong-sort-standalone/sort-standalone-source/pom.xml;inlong-sort/pom.xml;inlong-sort/sort-api/pom.xml;inlong-sort/sort-common/pom.xml;inlong-sort/sort-connectors/elasticsearch-6/pom.xml;inlong-sort/sort-connectors/elasticsearch-7/pom.xml;inlong-sort/sort-connectors/elasticsearch-base/pom.xml;inlong-sort/sort-connectors/hbase/pom.xml;inlong-sort/sort-connectors/hive/pom.xml;inlong-sort/sort-connectors/iceberg-dlc/pom.xml;inlong-sort/sort-connectors/iceberg/pom.xml;inlong-sort/sort-connectors/jdbc/pom.xml;inlong-sort/sort-connectors/kafka/pom.xml;inlong-sort/sort-connectors/mongodb-cdc/pom.xml;inlong-sort/sort-connectors/mysql-cdc/pom.xml;inlong-sort/sort-connectors/oracle-cdc/pom.xml;inlong-sort/sort-connectors/pom.xml;inlong-sort/sort-connectors/postgres-cdc/pom.xml;inlong-sort/sort-connectors/pulsar/pom.xml;inlong-sort/sort-connectors/sqlserver-cdc/pom.xml;inlong-sort/sort-connectors/tubemq/pom.xml;inlong-sort/sort-core/pom.xml;inlong-sort/sort-dist/pom.xml;inlong-sort/sort-end-to-end-tests/pom.xml;inlong-sort/sort-formats/format-base/pom.xml;inlong-sort/sort-formats/format-common/pom.xml;inlong-sort/sort-formats/format-csv/pom.xml;inlong-sort/sort-formats/format-inlongmsg-base/pom.xml;inlong-sort/sort-formats/format-inlongmsg-csv/pom.xml;inlong-sort/sort-formats/format-inlongmsg-pb/pom.xml;inlong-sort/sort-formats/format-json/pom.xml;inlong-sort/sort-formats/format-kv/pom.xml;inlong-sort/sort-formats/pom.xml;inlong-tubemq/pom.xml;inlong-tubemq/tubemq-client/pom.xml;inlong-tubemq/tubemq-connectors/pom.xml;inlong-tubemq/tubemq-connectors/tubemq-connector-flink/pom.xml;inlong-tubemq/tubemq-connectors/tubemq-connector-flume/pom.xml;inlong-tubemq/tubemq-connectors/tubemq-connector-spark/pom.xml;inlong-tubemq/tubemq-core/pom.xml;inlong-tubemq/tubemq-docker/pom.xml;inlong-tubemq/tubemq-docker/tubemq-all/pom.xml;inlong-tubemq/tubemq-docker/tubemq-build/pom.xml;inlong-tubemq/tubemq-docker/tubemq-cpp/pom.xml;inlong-tubemq/tubemq-docker/tubemq-manager/pom.xml;inlong-tubemq/tubemq-example/pom.xml;inlong-tubemq/tubemq-manager/pom.xml;inlong-tubemq/tubemq-server/pom.xml;pom.xml;,,,.github/workflows/ci_build.yml;.github/workflows/ci_chart_test.yml;.github/workflows/ci_check_license.yml;.github/workflows/ci_check_pr_title.yml;.github/workflows/ci_docker.yml;.github/workflows/ci_greeting.yml;.github/workflows/ci_labeler.yml;.github/workflows/ci_stale.yml;.github/workflows/ci_ut.yml;.github/workflows/codeql_analysis.yml;,inlong-tubemq/pom.xml;,,,,,,,,,,,,,,,,,
guxun12/ele_demo,https://github.com/guxun12/ele_demo,master,3da396ee783ed71bf313d00ca19058d8e5053c4c,270,297,library/pom.xml;,,,,,,,,,,,,,,,,,,,,,
rallat/ImageLoader,https://github.com/rallat/ImageLoader,master,e2ff249db4a68f8b78b185ad2efe79629f98383d,1,297,acceptance/pom.xml;core/pom.xml;demo/pom.xml;monkey/pom.xml;pom.xml;,,,,,,,,,,,,,,,,,,,,,
chenyangcun/MaterialDesignExample,https://github.com/chenyangcun/MaterialDesignExample,master,68438aa2ffa76520d9af35ad247e6414c49f9287,912,297,,app/build.gradle;build.gradle;settings.gradle;,,,,,,,,,,,,,,,,,,,,
tfredrich/RestExpress,https://github.com/tfredrich/RestExpress,master,abf4f31901a609d372db9c7fe00dad31d388a50b,6,297,,,,,,,,,,,,,,,,,,,,,,
FuzzyBearBTC/coinomi-android,https://github.com/FuzzyBearBTC/coinomi-android,master,f32e9a186e4eace84e9b1c68c9caaf0febf9685e,7,297,,build.gradle;core/build.gradle;settings.gradle;wallet/build.gradle;,,,,,,,,,,,,,,,,,,,,
karlmdavis/ksoap2-android,https://github.com/karlmdavis/ksoap2-android,master,3d576b533732381faa25de5baa19c1439306ad62,107,298,ksoap2-android-assembly/pom.xml;ksoap2-android/pom.xml;ksoap2-base/pom.xml;ksoap2-extras/pom.xml;ksoap2-j2se/pom.xml;ksoap2-midp/pom.xml;ksoap2-samples-axis/pom.xml;ksoap2-samples/pom.xml;ksoap2-servlet/pom.xml;pom.xml;,,,,,,pom.xml;,,,,,,,,,,,,,,,
nex3z/FlowLayout,https://github.com/nex3z/FlowLayout,master,d56865514f2ad1b5bbbc4ef889107fa4ba99bb92,2328,298,,build.gradle;flowlayout/build.gradle;sample/build.gradle;settings.gradle;,,,,,,,,,,,,,,,,,,,,
wuliaokankan/WeChat.CRM.SDK,https://github.com/wuliaokankan/WeChat.CRM.SDK,master,38fcaae7654094c05a619bec9d0310ccd0b41ef0,720,298,jubo-chat-newserver/pom.xml;jubo-chat-newserver/target/classes/META-INF/maven/com.jubotech/jubo-chat-newserver/pom.xml;,,jubochat/.travis.yml;,,,,,,,,,,,,,,,,,,,
liaohuqiu/android-cube-app,https://github.com/liaohuqiu/android-cube-app,master,4a2e8bef40c280252b770a84b19806e65515af73,1021,299,pom.xml;template/pom.xml;,build.gradle;template/build.gradle;,.travis.yml;,,,,,,,,,,,,,,,,,,,
alura-cursos/servlet-3-e-fundamentos-web,https://github.com/alura-cursos/servlet-3-e-fundamentos-web,master,bf87a4099af6b1a5af772da1684e8cdc06968950,15,299,,,,,,,,,,,,,,,,,,,,,,
CircleCI-Public/circleci-demo-java-spring,https://github.com/CircleCI-Public/circleci-demo-java-spring,master,6072533ffe13c1808c8447e1b097bd86e5085a41,55,299,,build.gradle;settings.gradle;,,,,,,build.gradle;,,,,,,,,,,,,,,
JeroenMols/LandscapeVideoCamera,https://github.com/JeroenMols/LandscapeVideoCamera,master,5c902299f4728fb3968f15ade356d02be9853050,1238,300,,build.gradle;example/build.gradle;library/build.gradle;settings.gradle;,.travis.yml;,,,,,library/build.gradle;,,,.travis.yml;,.travis.yml;,,,,,,,,,,
